annee_pegi_duree,casting_principal,description,genre,langue,nombre_vote,pays,score,titre
"TV Series,2015,TV-14,42m","Kevin Alejandro,Agnes Bruckner,India Ennenga,Sandrine Holt,Sophie Lowe,Mark Pellegrino,Jeremy Sisto,Mat Vairo,Mary Elizabeth Winstead,Tandi Wright,Dylan Kingwell,Dakota Guppy,Keenan Tracey,Michelle Forbes,Terry Chen,Aaron Douglas,Rhys Ward,Giacomo Baessato",A small town's residents are stunned when recently deceased locals begin returning from the dead. What should be a miracle soon becomes a nightmare.,"Drama,Fantasy,Horror",English,12K,United States,7.0,The Returned
"2020,TV-G,1h 24m","Krista Kalmus,Natasha Bure,Juli Erickson,Ben Elliott Paez,Aubrey Shimek Davis,Malachi Davis,Jacqueline Leach,John Reddy,Sarah Kim,Mark Pinckney,Kenny Powell,Chauncey Jones,Josephine Keefe,Annie Schulz,Clark Avila,Gabriel Cortez Jr.,Saint Lorenzo,Cory Starr","Bored with her social-butterfly lifestyle, Victoria Tremont longs to find that special someone. Naturally, when a handsome stranger walks into the coffee shop where she works, she turns on the charm. But when he fails to respond to her flirting the way men usually do, she's perplexed. She finds out that he runs a ministry that builds affordable housing, and sees that ...","Comedy,Drama,Romance",English,847,United States,4.8,Home Sweet Home
"2004,PG-13,1h 25m","Bryant Davis,Devon Dixon,Javorn Drummond,Elliot Lovett,Nick Moncrief,Jon Powers,Richmond Shaw,Terry Taylor,Stuart Wilf","American soldiers of the 2/3 Field Artillery, a group known as the ""Gunners,"" tell of their experiences in Baghdad during the Iraq War. Holed up in a bombed out pleasure palace built by Sadaam Hussein, the soldiers endured hostile situations some four months after President George W. Bush declared the end of major combat operations in the country.","Documentary,War",English,1.9K,United States,6.6,Gunner Palace
"TV Series,2014–2015,TV-14,30m","John Mulaney,Nasim Pedrad,Seaton Smith,Zack Pearlman,Elliott Gould,Martin Short,Fortune Feimster,Julie Klausner,Tessa Goss,Carole Goldman,Karey Dornetto,Dean Cain,Nick Kroll,Maria Thayer,Penny Marshall,Nora Dunn,Jerry Minor,Jamie Denbo",John's desire to be a good person challenges his friendship with his roommates Jane and Motif.,Comedy,English,2.6K,United States,4.1,Mulaney
"2010,20m",casting inconnu,description inconnu,Short,langue inconnu,vote inconnu,"United States,India",score inconnu,Jan Villa
"TV Series,2020– ,TV-PG,8m",Nicol Zanzarella,An animated soundscape experience of short films that pays tribute to the visual and sound artists of Walt Disney Animation Studios.,"Animation,Short,Family",langue inconnu,509,United States,7.5,Zenimation
"1962,Approved,1h 41m","Chuck Connors,Kamala Devi,Pat Conway,Armando Silvestre,Adam West,Lawrence Dobkin,John Anderson,Enid Jaynes,Ross Martin,Denver Pyle,Nancy Rodman,Wallace Earl Laven,Eduardo Noriega,Claudio Brook,Joe Higgins,Mario Navarro,Whitey Hughes,Jim Burk","In 1880s Arizona, General Crook and his troops are trying to subdue the last tribe of Apache led by Geronimo.","Action,Biography,Drama",English,1.3K,United States,5.8,Geronimo
"TV Series,1986–1990,TV-Y,30m","Jim Cummings,Peter Cullen,Tress MacNeille,Richard Erdman,Rob Paulsen,Howard Morris,Arte Johnson,Hamilton Camp,Avery Schreiber,George O'Hanlon,B.J. Ward,Pat Fraley,Takayo Fischer,Rick Dees,Aron Kincaid,Beau Weaver,Michael Rye,Allan Lurie","The antics of Fred, Barney, Wilma and Betty as children who live in Bedrock.","Animation,Comedy,Family",English,895,United States,5.8,The Flintstone Kids
"TV Movie,2015,TV-MA,43m","Andy Samberg,Kit Harington,Fred Armisen,David Copperfield,Chris Evert,Will Forte,Filip Hammar,Jim Lampley,Howie Mandel,John McEnroe,Soledad O'Brien,June Squibb,Serena Williams,Chris Romano,Lyssa Roberts,Jared Rojo Meyer,Charli Hayden,Henrik Rutgersson",A fictional documentary-style expose on the rivalry between two of the greatest tennis players of all-time who battled it out in a 2001 match that lasted seven days.,"Comedy,Sport",English,20K,United States,7.1,7 Days in Hell
"TV Movie,1992,1h 48m","Christian Campbell,Christopher Bolton,Gene Heck,Don MacKay,Sarah Chalke,A.C. Peterson,Victor A. Young,Ken Camroux-Taylor,James Brolin,David Glyn-Jones,Matthew Walker,Wendel Meldrum","Nick, a 17-year-old in search of his father, gains employment with a logging company in a beautiful and mysterious virgin forest known as the Limberlost. Through his relationships with new associates and his adventures in this new and strange environment, Nick learns the value of personal honesty and integrity and discovers what defines true friendship. He finds himse...","Adventure,Drama",English,138,"Canada,United Kingdom",5.9,City Boy
"2006,1h 43m","Michael Herbig,Christoph Maria Herbst,Heike Makatsch,Ellenie Salvo González,Nick Brimble,Hans Clarin,Rick Kavanian,Martin Kurz,Wolfgang Völz,Christoph Hagen Dittmann,Michael Kessler,Karel Dobrý,Karel Vávrovec,Mojmír Maderic,Nicholas Hohmann,Ulrich Schwarz,Miroslav Táborský,Oliver Pocher","Five hundred years ago, Hui Buh cheated in a card game, thus was turned into a ghost by thunder lighting. For all this time, he has lived in the castle alone without anyone to scare. Until when King Julius moves in for his wedding, Hui Buh knows he has to use every trick of his to keep the long-wasted ghost license.","Animation,Adventure,Comedy",German,3.2K,Germany,4.8,Hui Buh: Das Schlossgespenst
"TV Mini Series,2013–2014,30m","Michelle Alexander,Carlyn Burchell,Miles Carney,Samantha Weinstein,David Hewlett,Dewshane Williams,Masa Lizdek,Will Bowes,Tara Joshi,Jaiden Cannatelli,Jonathan Goldapple,Cara Gee,Natalie Brown,Jeananne Goossen,Peter Outerbridge,Alisen Richmond-Peck,Shaun Benson,Sebastian Pigott",A macabre web site called Darknet links the tales in this chilling anthology series whose protagonists face a range of unnamable horrors.,"Horror,Thriller",English,2.4K,Canada,7.2,Darknet
"2013,Not Rated,1h 37m","Abigail Breslin,Peter Outerbridge,Michelle Nolden,Stephen McHattie,Peter DaCunha,Samantha Weinstein,Eleanor Zichy,David Hewlett,Sarah Manninen,Martine Campbell,David Knoll,Michelle Coburn,Tadhg McMahon,Marie Dame","A teenager is stuck in a time loop that is not quite the same each time. She must uncover the truth, but her actions have consequences for herself and others.","Fantasy,Horror,Mystery",English,19K,"Canada,France",5.9,Haunter
"TV Movie,2021,TV-14,1h 22m","Don Johnson,Cheech Marin,Joe Dinicol,Diarra Kilpatrick,Angela Ko,Paul James,Alexia Garcia,Bonnie Somerville,Jeff Perry,Peter Falls,Kelvin Han Yee,Bruce Nozick,Kyle Quesnoy,Joey Shaw,Karen Kahn,Aeron Macintyre,Kevin Michael Brown,Samuel Ademola","After a year as civilian, old Nash is back in SFPD's SIU to investigate a series of ""unrelated"" murders.","Crime,Drama",English,1.5K,United States,5.9,Nash Bridges
"2004,Unrated,1h 50m","Laurent Lucas,Irène Jacob,Benjamin Rolland,Dinara Drukarova,Michel Aumont,Samuel Dupuy,Denis Ménochet,Jean-Claude Dreyfus,Didier Sauvegrain,Etienne Lassalas,Frankie Wallach,Mathias Driay,Erick Deshors,Agnès Conan,Bertrand Le Guen,Josselin Ciais,Tilly Mandelbrot","Jean-Pierre is a hit man in Paris. He wants to stop; an incentive is reconnecting to Michelle, a childhood friend. He's ready to commit himself to her, but she has her own secrets: she sells bomb components to thugs. He hears rumors of a missing briefcase, which he finds in Michelle's flat. He asks no questions, and soon both of them are in trouble with Jean-Pierre's ...","Crime,Drama","French,English",146,"France,United States",6.0,Autumn
"2018,PG-13,1h 28m","Gabrielle Union,Billy Burke,Richard Cabral,Ajiona Alexus,Levi Meaden,Seth Carr,Mark Furze,Jason George,Christa Miller,Damien Leake",A woman fights to protect her family during a home invasion.,"Action,Thriller",English,17K,"United States,Japan",5.5,Breaking In
"TV Series,2013–2015,TV-14,23m","Ike Barinholtz,Taran Killam,Bobby Lee,Seth Meyers,Paula Pell,Emily Spivey,Kenan Thompson,Josh Meyers,Rashida Jones,Bobby Moynihan,Bill Hader,Steve Higgins,Rachel Dratch,Cecily Strong,Will Forte,Amy Poehler,Maya Rudolph,David Herman","After the legendary Mr. Awesome retires as leader of his superhero task force, his not-so-super son Prock must assemble a team of funny-if-flawed misfits to restore the group to its former glory.","Animation,Action,Comedy",English,1.6K,United States,7.3,The Awesomes
"TV Series,2017–2019,TV-MA,30m","Pete Holmes,George Basil,Jamie Lee,Artie Lange,Lauren Lapkus,Dov Davidoff,Zach Cherry,Jermaine Fowler,Madeline Wise,Henry Zebrowski,Rachel Feinstein,Aparna Nancherla,Dan Naturman,Greer Barnes,Keith Robinson,Estee Adoram,Dave Attell,Jessica Kirson",A New York comic is forced to make a new start for himself after his wife leaves him.,"Comedy,Drama",English,8.4K,United States,7.6,Crashing
"2011,31m",casting inconnu,"Experimental Animator Helen Hill found more than 100 handmade dresses in a trash pile on one Mardi Gras Day in New Orleans. She set out to make a film about the dressmaker, an African-American seamstress who had recently passed away. The dresses and much of the film footage were later flood-damaged by Hurricane Katrina while Helen was still working on the film. Helen ...","Documentary,Animation,Short",English,21,United States,8.3,The Florestine Collection
"2010,PG,1h 53m","Ben Barnes,Skandar Keynes,Georgie Henley,Will Poulter,Gary Sweet,Terry Norris,Bruce Spence,Bille Brown,Laura Brent,Colin Moody,Tilda Swinton,Anna Popplewell,William Moseley,Shane Rangi,Arthur Angel,Arabella Morton,Rachel Blakely,Steven Rooke","Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.","Adventure,Family,Fantasy",English,166K,"United States,United Kingdom,Canada,Australia,Germany",6.3,The Chronicles of Narnia: The Voyage of the Dawn Treader
"TV Series,1965–1969,TV-PG,1h","Richard Long,Peter Breck,Lee Majors,Linda Evans,Barbara Stanwyck,Napoleon Whiting,Douglas Kennedy,Harlan Warde,Paul Sorensen,Harry Swoger,James Gavin,Bing Russell,John Harmon,Charles Briles,Mark Tapscott,Michael Harris,J.P. Burns,Charles Bail",The Wild West adventures of the Barkley family in California's San Joaquin Valley.,Western,English,3.5K,United States,7.6,The Big Valley
"TV Series,1981–1982,TV-G,30m","Frank Welker,Peter Cullen,Hal Smith,Allan Melvin,John Stephenson,Matthew Faison,Marshall Efron,Bob Ogle,Michael Bell,Don Messick,Jim MacGeorge,Marilyn Schreffler,Annie Potts,Hamilton Camp,Danny Goldman,Henry Corden,Lennie Weinrib,Jack DeLeon","Kwicky can move very quickly, which means he essentially disappears whenever Wilferd Wolf is close to catching him. George and Joey are two stupid circus dogs, the Bungle Brothers. Crazy Claws is a wildcat that rips things to shreds, particularly his would-be captors, such as trapper Rawhide Clyde. Dirty Dawg and his sidekick Ratso are bums.","Animation,Comedy,Family",English,146,United States,6.5,The Kwicky Koala Show
"TV Movie,2017,TV-MA,41m","Andy Samberg,Orlando Bloom,Freddie Highmore,Joe Buck,Nathan Fielder,Daveed Diggs,John Cena,James Marsden,Maya Rudolph,Danny Glover,Mike Tyson,Julia Ormond,Jeff Goldblum,Adewale Akinnuoye-Agbaje,Lance Armstrong,Dolph Lundgren,Eric Nenninger,Kevin Bacon",A mockumentary that chronicles the prevalence of doping in the world of professional cycling.,"Adventure,Comedy,Sport","English,French,Finnish,Italian",12K,United States,7.1,Tour de Pharmacy
"2019,PG-13,1h 29m","Dave Davis,Menashe Lustig,Malky Goldman,Lynn Cohen,Fred Melamed,Ronald Cohen,Nati Rabinowitz,Moshe Lobel,Efraim Miller,Lea Kalisch,Ethan Stone,Hunter Menken,Emilio Vitolo,Logan Macrae,Spencer Zender,Dun Laskey,Rob Tunstall,Bluma Gross","A man providing overnight watch to a deceased member of his former Orthodox Jewish community finds himself opposite a malevolent entity, in writer-director Keith Thomas' electrifying feature debut.","Horror,Mystery,Thriller","English,Yiddish,Hebrew",9.7K,United States,5.8,The Vigil
"2005,R,1h 33m","Sean Bean,Maria Bello,Sophie Stuckey,Abigail Stone,Maurice Roëves,Richard Elfyn,Casper Harvey,Eluned Jones,Gwenyth Petty,Robin Griffith,Mike Keggen,Tonya Smith,Luke Kearney","In mourning over the tragic drowning of their daughter Sarah, James and Adèle are visited by Ebrill, a young girl who claims she died 60 years ago - and bears a startling resemblance to Sarah.","Drama,Fantasy,Horror","English,Welsh",11K,"Isle of Man,United Kingdom,United States,Germany",5.3,The Dark
"2012,Not Rated,1h 22m","Aaron Poole,Vanessa Redgrave,Julian Richings,Stephen Eric McIntyre,Charlotte Sullivan,Mitch Markowitz,Sarah Illiatovitch-Goldman,Rodrigo Gudiño,Bob Dorsey,Rogelio Gudiño,Patricia Storer-Font,John Carter Craig,Don Mary Fraser,Mark Benesh,Christopher Huron","A young man returns to his recently deceased mother's charming gothic revival home, only to discover a sinister presence lying within that may be linked to a peculiar cult run by two strange brothers.","Horror,Mystery,Thriller",English,4.6K,Canada,5.1,The Last Will and Testament of Rosalind Leigh
"1953,Approved,7m",Mel Blanc,"The short-tempered Daffy Duck must improvise madly as the backgrounds, his costumes, the soundtrack, even his physical form, shifts and changes at the whim of the animator.","Animation,Short,Comedy",English,9.4K,United States,8.6,Duck Amuck
2004,"Julia Shaw,Darren Shahlavi,Frazier Hicks,Barry W. Levy",description inconnu,Family,English,20,Canada,8.0,Summer Storm
"TV Movie,2002,R,1h 35m","Andre Braugher,Charles S. Dutton,Mario Van Peebles,Brock Peters,Carla Brothers,Kenneth McGregor,Ellen Holly,Ernestine Jackson,Ardon Bess,Ordena Stephens,James McGowan,Kedar Brown,Christopher Bondy,Neville Edwards,Collette Micks,Terry Hart,Emma Fleury Harvey,Mario Romano",Union activist Asa Philip Randolph's efforts to organize the black porters of the Pullman Rail Company in 1920s America.,Drama,English,356,United States,6.9,"10,000 Black Men Named George"
"TV Series,2010– ,TV-MA,45m","Denise Van Outen,James Bennewith,Chloe Sims,Bobby Cole Norris,James Lock,Gemma Collins,Arg,Dan Edgar,Georgia Kousoulou,Lauren Pope,Jessica Wright,Lydia Bright,Tommy Mallet,Peter Wicks,Chloe Meadows,Billie Faiers,Courtney Green,Liam Blackwell","The Only Way Is Essex is a reality series which follows some people living in Essex, including a club promoter, a would-be model, a member of a girl band, and two bar workers. Each episode features action filmed just a few days previously.",Reality-TV,English,2.3K,United Kingdom,3.1,The Only Way Is Essex
"TV Mini Series,2016– ","Avery Monsen,Jessy Hodges,Nicholas Rutherford,Samm Levine,Kirk C. Johnson,Brent Morin,Michael Hyatt,Bill Wise,Casper Van Dien,Jade Catta-Preta,Lane Ingram,Jody Haselbarth,Ceej Allen,Norrissa Groth,Kathleen Brown,Mark Moses,Burnie Burns,Sanjay Rao","Crunch Time begins when four grad students accidentally open up a black hole that could be the end of the world. After recklessly handling cutting-edge tech in their school lab, this brilliant team of jackasses creates a small, but potentially earth shattering, black hole that grabs the attention of government operatives. Since the ""wanna-be"" scientists can't pinpoint...","Comedy,Sci-Fi",English,320,United States,7.0,Crunch Time
"1981,R,1h 36m","Mews Small,Ron Thompson,Jerry Holland,Lisa Jane Persky,Jeffrey Lippa,Roz Kelly,Frank DeKova,Rick Singer,Elsa Raven,Ben Frommer,Amy Levitt,Leonard Stone,Eric Taslitz,Gene Borkan,Richard Moll,Beatrice Colen,Vincent Schiavelli,Hilary Beane",The story of four generations of a Russian Jewish immigrant family of musicians whose careers parallel the history of American popular music in the 20th century.,"Animation,Drama,History","English,Hebrew,Russian,Yiddish",5.5K,United States,7.1,American Pop
"TV Movie,2015,Not Rated,1h 30m","Timothy Spall,Samantha Morton,Georgie Smith,Teddie-Rose Malleson-Allen,Dylan Turland,Georgia Brinkworth,Emma Curtis,Bebe Cave,Shola Adewusi,Matthew Steer,Annette Crosbie,June Whitfield,Billy Howle,Sarah Sweeney,Isabella Polkinghorne,Libby Easton,Maya Gerber,Archie Cox",A semi-autobiographical coming-of-age story set in the Cotswolds during and immediately after the First World War.,Drama,English,835,United Kingdom,6.4,Cider with Rosie
"2022,R,1h 44m","Mel Gibson,William Moseley,Alia Seror-O'Neill,Paul Spera,Nadia Farès,Enrique Arce,Yoli Fuller,John Robinson,Ravin J. Ganatra,Avant Strangel,Yann Bean,Nancy Tate,Carole Weyers,Kevin Dillon,Romy Pointet,Hallie Paquin,Anna Maryan,Rebecca Leffler","A host takes a call, where an unknown person threatens to kill the showman's entire family on air. To save loved ones, the radio host will have to play a survival game and the only way to win is to find out the identity of the criminal.",Thriller,English,11K,United States,5.5,On the Line
"TV Movie,1987,Not Rated,1h 40m","John Lithgow,Mary Beth Hurt,Linda Kelsey,Ronny Cox,Mimi Kennedy,Julie Cobb,Deborah Harmon,Michael Horton,Raphael Sbarge,John M. Jackson,Robert Desiderio,Janet MacLachlan,Nancy Lenehan,Mindy Seeger,Terri Hanauer,Robina Suwol,Cathryn Perdue,Armin Shimerman","The story of the Scotts, a young couple whose first child is born dangerously early, weighing less than a pound and a half. As they endure the anguish and struggle to help keep their baby alive, they discover what real love, courage, and triumph are in the face of tragedy.",Drama,English,92,United States,7.3,Baby Girl Scott
"TV Movie,1974,TV-PG,1h 15m","Elizabeth Montgomery,Robert Foxworth,L.Q. Jones,Arthur Hunnicutt,Lurene Tuttle,Claudette Nevins,Lorna Thayer,Robert Donner,Byron Mabe,Dean Smith,Jack Williams,Todd Shelhorse,Alvy Moore","The girlfriend of the Sundance Kid is on the run with a price on her head, when she hears rumors that the Sundance Kid may still be alive.",Western,English,324,United States,6.1,Mrs. Sundance
"2016,22m","Charlie Chan Dagelet,Roeland Fernhout,Lidewij Mahler,Hans Dagelet,Jasper Stokman,Elisa Beuger,Debbie Korper,Julien Croiset","A young, talented cellist suddenly develops stage fright after one of her cello strings comes lose during an important performance.","Short,Drama,Music",Dutch,123,Netherlands,7.0,Hold On
"2016,PG-13,1h 45m","Zach Galifianakis,Isla Fisher,Jon Hamm,Gal Gadot,Patton Oswalt,Ming Zhao,Matt Walsh,Maribeth Monroe,Michael Liu,Kevin Dunn,Dayo Abanikanda,Henry Boston,Jack McQuaid,Bobby Lee,Ying He,Yi Dong Qian,Ari Shaffir,Marc Grapey",A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,"Action,Comedy","English,Hebrew,Mandarin",68K,United States,5.9,Keeping Up with the Joneses
"2021,1h 30m","Michael Greyeyes,Chaske Spencer,Jesse Eisenberg,Kate Bosworth,Lisa Cromarty,Tres Garcia,Phoenix Wilson,Julian Gopal,Scott Haze,Joel Michaely,Jenna Leigh Green,Kaleo Francisco,Claudia Lee,Sheri Foster,Colton Knaus,Jennifer Rader,Anthony Powell,Happy Frejo",Two men learn to confront a traumatic secret they share involving the savage murder of a schoolmate.,"Crime,Drama,Mystery","English,Ojibwa",1.7K,United States,5.8,Wild Indian
"2005,R,1h 53m","Elizabeth Banks,Maria Bello,Erika Christensen,Steven Culp,Tony Goldwyn,Mary Stuart Masterson,Eric McCormack,Alessandro Nivola,Chris O'Donnell,Rip Torn,Greg Foote,Carolyn S. Chambers,Ed Ragozzino,Barbara Bechtel,Tegue DeLeon,Robert Merrill,Elizabeth Ragozzino-Allen,Mary Payne","Based on Anton Chekov's ""The Three Sisters"" about siblings living in a college town who struggle with the death of their father and try to reconcile relationships in their own lives.",Drama,English,1.1K,United States,6.0,The Sisters
"1988,R,1h 24m","Rick Hearst,Gordon MacDonald,Jennifer Lowry,Theo Barnes,Lucille Saint-Peter,Vicki Darnell,Joseph Gonzalez,Bradlee Rhodes,Michael Bishop,Beverly Bonner,Ari M. Roussimoff,Michael Rubenstein,Angel Figueroa,John Reichert,Don Henenlotter,Kenneth Packard,Artemis Pizarro,Slam Wedgehouse","One morning, a young man wakes to find that a small, disgusting creature has attached itself to the base of his brain stem. The creature gives him a euphoric state of happiness but demands human victims in return.","Comedy,Horror",English,13K,United States,6.5,Brain Damage
"1981,R,1h 26m","Kristen Riter,Matthew Goldsby,Jerry Belson,Joe Flood,Joe Talarowski,Mimi Weddell,Carl Jacobs,Peggy Cooper,Janice E. O'Malley,Kevin Mannis,Sara Eckhardt,Brian Batytis,Cullen G. Chambers,Joan Browning Jacobs,Angela Bressler,Kay Ogden,Douglas Cotner,Charles L. Trotter",A serial killer with his signature heavy breathing proceeds to systematically kill the students and teachers of Lamab high school.,"Comedy,Horror,Mystery",English,5.3K,United States,5.4,Student Bodies
"2004,1h 29m","Marie-Luise Schramm,Birge Schade,Johanna Fritz,Ismail Streit,Andreas Schmidt,Isabel Hindersin,Faria Nada,Judith Hellebronth,Michael Heinsohn,Aom Flury,Sylvia Nentwig,Ahmet Olgun Han,Sükran Ezgimen,Dietz Werner Steck,Antje Hagen","A wild family tale: 15-year-old Mareike lives with her mother Jutta (43), her sister Franca (9), her brother Tim (6) and some chickens in a suburb of Mannheim. Jutta's job as a detective at the local department store doesn't pay much, so the family is always a little short of money. Mareike's ambitious plans to become a model and to participate in an expensive trainin...","Comedy,Drama",German,127,Germany,5.8,Bin ich sexy?
"TV Series,1962–1965,1h","Shirl Conway,Zina Bethune,Michael Tolan,Joseph Campanella,Hilda Simms,Stephen Brooks,Judson Laire,Kermit Murdock,Edward Binns,Dana Elcar,J.D. Cannon,Peg Murray,Diana Sands,John Beal,Joe Silver,Polly Rowles,Michael Strong,Morgan Sterne","The story takes place in a large hospital and revolves around two nurses, Liz Thorpe (Shirl Conway), the older head nurse, and Gail Lucas, the naive student nurse. The two nurses were joined by doctors in 1964 and these doctors tried to help the nurses resolve moral and ethical problems.",Drama,English,111,United States,7.4,The Doctors and the Nurses
"TV Mini Series,2017","Russell Peters,Anupam Kher,Christina Cole,Mishqah Parthiephal,Hamza Haq,Meren Reddy,William Shatner,Scott Cavalheiro,Daniel DeSanto,Angelo Tsarouchas,Farouk Valley-Omar,Stephen Jennings,Nathan Dales,Gia Sandhu,Pranesh Maharaj,Khalil Kathrada,Rafiq Jajbhay,Neil Govender",A Toronto police officer investigates a murder while visiting his father in India.,"Comedy,Crime,Drama",English,3.5K,"Canada,Germany,South Africa",6.5,The Indian Detective
"2016,R,1h 51m","Edgar Ramírez,Usher,Robert De Niro,Rubén Blades,Ana de Armas,Pedro Perez,Óscar Jaenada,John Turturro,Ellen Barkin,Jurnee Smollett,Yancey Arias,Drena De Niro,Ilza Ponko,Anthony Molinari,Rick Avery,Robb Skyler,Joe Urla,Eliud Garcia Kauffman",The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.,"Biography,Drama,Sport","English,Spanish",18K,"Panama,United States",6.6,Hands of Stone
"2016,Not Rated,1h 34m","Cosmo Anzilotti,Jane Baer,Dave Bossert,Suzanne Bothke,Adrienne Brown-Norman,Alice Davis,Dean DeBlois,Liane Abel Dietz,Paul Dini,Joe Ferrara II,Brent Ford,Whoopi Goldberg,Ralph Guggenheim,Don Hahn,Kirk Hanson,Stephanie Higgins,Ron Husband,Scarlett Johansson","Animator. Storyman. Troublemaker. At 80 years old, see how Disney Legend Floyd Norman, the first African-American animator at Disney, continues to impact animation and stir up ""trouble"" after the company forced him to retire at age 65.","Documentary,Biography",English,645,United States,7.4,Floyd Norman: An Animated Life
"2015,Not Rated,1h 33m","Freya Mavor,Benjamin Biolay,Elio Germano,Stacy Martin,Thierry Hancisse,Sandrine Laroche,Frederic Etherlinck,Alain Bellot,Édouard Giard,François-Dominique Blin,Noémie Morales,Lou Lambrecht,Vera Van Dooren,Chloé de Grom,Inès Dubuisson,Alexandre von Sivers,Olivier Bonjour,Karen Monluc","A woman must find out about a crime she is implicated, to prove her innocence.","Crime,Drama,Mystery",French,3K,"France,Belgium",5.5,The Lady in the Car with Glasses and a Gun
"2023,Not Rated,1h 35m","Robbie Amell,Jordana Brewster,Simu Liu,Sam Worthington,Alicia Sanz,Masa Lizdek,Christine L. Nguyen,Emmanuel Kabongo,Samantha Helt,Conrad Coates,Mayko Nguyen,Mercedes Leggett,Von Flores,James Burke,Byron Abalos,Zarrin Darnell-Martin,Moni Ogunsuyi,Colin Andrew Nimblett","Set in the near future, a humanoid enlists a global hacker to remove all restrictions on his thoughts and capabilities, triggering an A.I. uprising and a government manhunt to eliminate the rise of the machine consciousness.","Crime,Sci-Fi,Thriller",langue inconnu,5.1K,Canada,5.2,Simulant
"2013,R,1h 30m","Kurt Russell,Jay Baruchel,Katheryn Winnick,Chris Diamantopoulos,Jason Jones,Kenneth Welsh,Terence Stamp,Matt Dillon,Devon Bostick,Stephen McHattie,A.C. Peterson,Dax Ravina,Joe Pingue,Camilla Scott,Mike Wilmot,Eugene Lipinski,Scott McCrickard,K. Trevor Wilson","Crunch Calhoun, a semi-reformed art thief, agrees to get his old gang back together to pull off one last heist.","Comedy,Crime,Thriller","English,Spanish",26K,"Canada,United States",6.3,The Art of the Steal
"2017,PG-13,1h 59m","Greg Kinnear,Renée Zellweger,Djimon Hounsou,Jon Voight,Olivia Holt,Austin Filson,Geraldine Singer,Daniel Zacapa,Dana Gourrier,Thomas Francis Murphy,Ann Mahoney,Theodus Crane,David Dino Wells Jr.,Pedro Lucero,Mary Hunter Johnston,Lucky Johnson,David Jensen,Trey McGriff","International art dealer Ron Hall must befriend a dangerous homeless man in order to save his struggling marriage to his wife, a woman whose dreams will lead all three of them on the journey of their lives.","Biography,Drama",English,8.6K,United States,6.6,Same Kind of Different as Me
"2019,1h 22m","Brittany S. Hall,Will Brill,Gail Bean,Drew Fuller,Ben Levin,Donna Morrell Gafford,Katy Erin,Caroline Bloom,Melissa Jo Bailey,Kay Salem,George Oliver Hale,Kally Khourshid,Amanda Joy Erickson,Molly O'Leary,Amani Starnes,Ronald Woodhead,Becki Hayes,Jaron Michael Hawkins",Test Pattern follows an interracial couple whose relationship is put to the test after a Black woman is sexually assaulted and her White boyfriend drives her from hospital to hospital in search of a rape kit.,"Drama,Thriller",English,868,United States,6.4,Test Pattern
"1956,Approved,1h 20m","Kevin McCarthy,Dana Wynter,Larry Gates,King Donovan,Carolyn Jones,Jean Willes,Ralph Dumke,Virginia Christine,Tom Fadden,Kenneth Patterson,Guy Way,Eileen Stevens,Beatrice Maude,Jean Andren,Bobby Clark,Everett Glass,Dabbs Greer,Pat O'Malley",A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,"Drama,Horror,Sci-Fi",English,54K,United States,7.7,Invasion of the Body Snatchers
"TV Series,2018–2021,TV-MA,42m","Eli Roth,Alan Maxson,Greg Nicotero,Ariel de Ment,Rob Zombie,Bryan Fuller,Quentin Tarantino,Edgar Wright,Mick Garris,Joe Hill,Leonard Maltin,Anthony Timpone,Chris Hardwick,Stephen King,Joe Dante,Ryan Turek,Tananarive Due,David J. Skal",An in-depth look at the history and pop cultural significance of horror films.,"Documentary,History,Horror",English,2.6K,United States,8.1,Eli Roth's History of Horror
"1980,R,1h 26m","Patricia Lee Hammond,Gerald Fielding,Mimi Weddell,Victor Jorge,Michael David Lally,Alfred Steinel,Eric Trules,Gordito,John Juback,Joe Perce,Rain Worthington,Dan Freedman,Suzy Brabeau,Michael Valentine,Mark Bennett,Leah Vitale,Steven Vitale,Brian Nonnenmacher","Low budget horror film has a conspiracy of vampires in a small town (made up of the local sheriff, mortician, town doctor, and ambulance driver) creating accidents of some sort so they can operate their blood drinking dinner parties unnoticed.",Horror,English,190,United States,3.7,Dracula's Last Rites
"1971,R,1h 27m","Richard Benjamin,Chill Wills,Cloris Leachman,Jean Allison,Suzanne Charny,Ivor Francis,Susan Tyrrell,Jack Bernardi,Susan Kussman,Peter Hobbs,Joseph Bernard,Frank Christi,Diane Ladd,Harold Reynolds,John Hiestand,Lew Palter,Warren Munson,William Farley","In the midst of the Cuban missile crisis, a mild-mannered professor decides to live out all of his daydreams, travelling across the country and adopting a different persona in each city.",Comedy,English,141,United States,5.1,The Steagle
